pid,artist,location,label,_date,object_type,current_location,source,order,thumbnail,full,manifest,layout,collection
obj1,Gisella Lopez Ariza,Espana,vaciar la tierra,2020,Materiales descartados,La Isla Bonita Gallery Planes Alicante,Convocatoria drap_art 2020 artistas confinados,1,"/img/derivatives/iiif/images/obj1/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj1/full/full/0/default.jpg,/img/derivatives/iiif/obj1/manifest.json,qatar_item,laislab
obj10,Gisella Lopez Ariza e Ilian Sanchez Rodriguez,Colombia,Custodia,2019,Mural,Barranquilla,Colectivo,10,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj10/full/full/0/default.jpg,/img/derivatives/iiif/obj10/manifest.json,qatar_item,laislab
obj2,Gisella Lopez Ariza,Espana,Cartas de Ingie,2020,Materiales descartados,La Isla Bonita Gallery Planes Alicante,Investigacion Brujeria,2,"/img/derivatives/iiif/images/obj2/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj2/full/full/0/default.jpg,/img/derivatives/iiif/obj2/manifest.json,qatar_item,laislab
obj3,Gisella Lopez Ariza,Espana,DH in Prison,2020,Ilustracion ,DH in Prison website,Proyecto para tesis MA,3,"/img/derivatives/iiif/images/obj3/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj3/full/full/0/default.jpg,/img/derivatives/iiif/obj3/manifest.json,qatar_item,laislab
obj4,Gisella Lopez Ariza,Espana,Intro to Jekyll,2020,Ilustracion ,DH in Prison website,Proyecto para tesis MA,4,"/img/derivatives/iiif/images/obj4/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj4/full/full/0/default.jpg,/img/derivatives/iiif/obj4/manifest.json,qatar_item,laislab
obj5,Ilian Sanchez Rodriguez,Espana,Intro to Python,2020,Ilustracion,DH in Prison website,Proyecto para tesis MA,5,"/img/derivatives/iiif/images/obj5/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj5/full/full/0/default.jpg,/img/derivatives/iiif/obj5/manifest.json,qatar_item,laislab
obj6,Ilian Sanchez Rodriguez,Espana,DH in Prison,2020,Logo,DH in Prison website,Proyecto para tesis MA,6,"/img/derivatives/iiif/images/obj6/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj6/full/full/0/default.jpg,/img/derivatives/iiif/obj6/manifest.json,qatar_item,laislab
obj7,Ilian Sanchez Rodriguez,Colombia,P.I.G.,2016,ilustracion,La Isla Bonita Gallery Barranquilla,Corrupcion,7,"/img/derivatives/iiif/images/obj7/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj7/full/full/0/default.jpg,/img/derivatives/iiif/obj7/manifest.json,qatar_item,laislab
obj8,Gisella Lopez Ariza e Ilian Sanchez Rodriguez,Colombia,Kpucha y trance,2019,Mural,Barranquilla,Colectivo,8,"/img/derivatives/iiif/images/obj8/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj8/full/full/0/default.jpg,/img/derivatives/iiif/obj8/manifest.json,qatar_item,laislab
obj9,Gisella Lopez Ariza e Ilian Sanchez Rodriguez,Colombia,Love pimenton,2019,Mural,Barranquilla,Colectivo,9,"/img/derivatives/iiif/images/obj9/full/250,/0/default.jpg",/img/derivatives/iiif/images/obj9/full/full/0/default.jpg,/img/derivatives/iiif/obj9/manifest.json,qatar_item,laislab
